Date,Open,High,Low,Close,Adj Close,Volume
2021-10-20,240.399994,242.649994,239.289993,239.720001,228.013840,3040200
2021-10-21,240.169998,241.910004,239.309998,241.399994,229.611801,2702400
2021-10-22,240.710007,242.240005,238.000000,238.440002,226.796356,3283700
2021-10-25,239.229996,239.250000,236.500000,237.339996,225.750061,3178400
2021-10-26,237.470001,238.399994,236.139999,236.419998,224.875000,3066400
2021-10-27,241.050003,244.619995,238.850006,242.729996,230.876862,5249400
2021-10-28,243.399994,246.080002,242.529999,245.500000,233.511581,3448500
2021-10-29,243.000000,246.089996,242.470001,245.550003,233.559158,4329400
2021-11-01,245.800003,251.690002,245.339996,250.580002,238.343506,4456200
2021-11-02,251.759995,252.220001,248.160004,249.240005,237.068954,2624300
2021-11-03,247.990005,251.130005,247.910004,250.399994,238.172272,2399000
2021-11-04,251.119995,254.179993,250.199997,253.460007,241.082870,2711000
2021-11-05,254.690002,257.529999,254.619995,254.710007,242.271835,3224300
2021-11-08,254.779999,255.649994,251.929993,253.100006,240.740448,2471300
2021-11-09,252.910004,253.690002,250.449997,252.649994,240.312408,2258900
2021-11-10,250.809998,253.720001,250.809998,253.130005,240.768997,1794300
2021-11-11,253.330002,253.330002,249.259995,250.160004,237.944016,1640500
2021-11-12,250.149994,251.009995,248.889999,250.669998,238.429108,1625200
2021-11-15,250.669998,253.759995,250.669998,252.940002,240.588287,1709200
2021-11-16,253.500000,254.190002,252.380005,252.460007,240.131699,2195500
2021-11-17,252.410004,253.339996,250.520004,252.690002,240.350464,1412000
2021-11-18,253.160004,253.490005,251.080002,253.479996,241.101898,1751200
2021-11-19,253.289993,253.320007,250.229996,251.949997,239.646606,2743100
2021-11-22,252.669998,255.449997,252.210007,253.479996,241.101898,2438700
2021-11-23,254.809998,255.789993,253.050003,255.649994,243.165924,2770000
2021-11-24,254.500000,257.790009,254.050003,257.109985,244.554626,2642800
2021-11-26,252.509995,253.160004,248.270004,250.009995,237.801331,2573300
2021-11-29,251.850006,252.320007,249.830002,250.300003,238.077194,2084600
2021-11-30,247.380005,247.899994,243.949997,244.600006,233.945343,3836100
2021-12-01,245.759995,250.899994,244.110001,244.179993,233.543625,3275300
2021-12-02,245.660004,250.339996,245.000000,248.800003,237.962402,3290500
2021-12-03,250.320007,250.679993,247.570007,249.330002,238.469330,3229900
2021-12-06,252.399994,256.929993,252.369995,255.789993,244.647934,3616800
2021-12-07,256.950012,260.380005,256.450012,259.910004,248.588470,2596200
2021-12-08,260.000000,262.809998,259.089996,259.579987,248.272842,3453100
2021-12-09,259.500000,263.100006,258.359985,262.339996,250.912643,2955100
2021-12-10,263.880005,265.269989,262.429993,264.970001,253.428024,2529600
2021-12-13,264.220001,265.859985,262.399994,263.089996,251.629974,2878800
2021-12-14,263.000000,263.589996,261.750000,262.519989,251.084747,3695500
2021-12-15,262.160004,265.670013,261.410004,264.519989,252.997681,2641800
2021-12-16,265.559998,266.890015,264.089996,265.549988,253.982788,2347700
2021-12-17,264.000000,264.850006,260.880005,261.700012,250.300507,5943200
2021-12-20,259.630005,261.959991,258.429993,261.730011,250.329208,2824500
2021-12-21,264.290009,266.480011,263.420013,264.390015,252.873367,2851800
2021-12-22,264.320007,265.440002,264.070007,264.940002,253.399323,1795100
2021-12-23,265.920013,267.369995,265.450012,265.950012,254.365372,1509800
2021-12-27,266.470001,268.260010,266.000000,268.239990,256.555603,1485500
2021-12-28,267.579987,269.220001,267.250000,267.880005,256.211273,1304000
2021-12-29,268.450012,269.720001,267.950012,268.489990,256.794708,1318500
2021-12-30,269.000000,269.260010,266.700012,267.209991,255.570465,1714600
2021-12-31,268.000000,269.119995,267.209991,268.070007,256.393036,1519200
2022-01-03,269.489990,270.730011,265.559998,268.579987,256.880798,2750600
2022-01-04,269.500000,271.149994,268.269989,268.510010,256.813904,2506000
2022-01-05,269.299988,270.279999,266.899994,267.190002,255.551346,2473000
2022-01-06,268.119995,270.760010,267.799988,269.690002,257.942444,2908400
2022-01-07,268.559998,270.170013,267.000000,267.059998,255.426987,2209100
2022-01-10,266.709991,266.720001,262.010010,264.410004,252.892456,3122400
2022-01-11,263.489990,263.950012,260.320007,262.119995,250.702209,3206200
2022-01-12,263.369995,263.950012,260.279999,260.920013,249.554474,3044000
2022-01-13,261.410004,263.850006,260.589996,261.410004,250.023132,2371300
2022-01-14,261.140015,261.239990,257.160004,257.709991,246.484268,3460100
2022-01-18,256.959991,257.100006,254.309998,256.480011,245.307907,3076500
2022-01-19,257.549988,257.950012,255.080002,255.220001,244.102768,2304700
2022-01-20,256.619995,258.109985,252.899994,253.130005,242.103821,2602200
2022-01-21,254.039993,258.459991,253.690002,254.589996,243.500183,3738100
2022-01-24,252.380005,253.919998,247.779999,253.610001,242.562881,5153100
2022-01-25,250.830002,252.529999,247.070007,250.679993,239.760498,3908600
2022-01-26,253.000000,254.210007,247.860001,249.850006,238.966675,3839000
2022-01-27,249.600006,252.460007,245.250000,248.740005,237.905060,5199000
2022-01-28,250.000000,256.350006,247.160004,256.089996,244.934860,3833200
2022-01-31,255.020004,259.500000,254.440002,259.450012,248.148499,3174200
2022-02-01,259.750000,259.899994,255.580002,258.989990,247.708527,2496500
2022-02-02,258.829987,262.609985,258.489990,262.279999,250.855255,2371500
2022-02-03,262.000000,262.799988,260.070007,260.640015,249.286682,2242200
2022-02-04,259.869995,261.730011,257.790009,260.059998,248.731949,1989700
2022-02-07,261.000000,261.579987,259.170013,259.850006,248.531067,1959300
2022-02-08,260.500000,262.380005,259.100006,260.079987,248.751038,2920000
2022-02-09,261.989990,262.880005,259.410004,259.859985,248.540665,2379300
2022-02-10,258.600006,260.440002,255.970001,256.869995,245.680862,3246600
2022-02-11,256.869995,258.760010,254.729996,255.160004,244.045364,3592700
2022-02-14,255.910004,256.250000,251.679993,253.389999,242.352478,2825800
2022-02-15,254.820007,256.920013,253.559998,253.809998,242.754166,2171500
2022-02-16,253.770004,254.600006,251.199997,253.089996,242.065536,2941800
2022-02-17,251.479996,252.880005,250.000000,250.929993,239.999619,2831900
2022-02-18,250.339996,252.289993,250.009995,250.600006,239.684006,2813500
2022-02-22,250.009995,254.699997,249.600006,252.699997,241.692535,3980500
2022-02-23,253.529999,253.850006,247.080002,247.789993,236.996399,3497200
2022-02-24,242.929993,245.580002,239.610001,245.029999,234.356628,4856000
2022-02-25,246.000000,249.529999,243.630005,249.449997,238.584106,4549700
2022-02-28,244.440002,245.720001,242.360001,244.770004,235.410294,4410400
2022-03-01,242.300003,243.600006,238.300003,239.630005,230.466812,3910700
2022-03-02,240.850006,242.740005,239.610001,240.940002,231.726715,4482000
2022-03-03,241.009995,242.339996,235.679993,236.649994,227.600769,4707400
2022-03-04,234.619995,236.389999,231.639999,235.809998,226.792908,4184100
2022-03-07,234.309998,234.309998,224.190002,224.330002,215.751862,5425000
2022-03-08,224.330002,229.740005,222.199997,222.789993,214.270767,5258800
2022-03-09,226.789993,227.250000,222.009995,222.470001,213.962997,5630500
2022-03-10,220.199997,222.050003,217.679993,222.000000,213.510986,5444900
2022-03-11,224.740005,229.110001,224.199997,226.869995,218.194763,6126300
2022-03-14,226.779999,228.440002,223.160004,226.179993,217.531128,4436100
2022-03-15,227.979996,234.570007,227.979996,232.570007,223.676788,5087400
2022-03-16,234.869995,238.210007,234.360001,238.139999,229.033813,4173200
